HourOfDay	DayOfWeek	WeekOfYear	Month	SolarSurface	AvgGenArea	Consumed	UvIndex	GeneratedSolar
11	2	1	1	8.00	129.00	1005.00	8.00	1042.32
11	2	1	1	12.00	129.00	2447.00	8.00	1486.08
11	2	1	1	14.00	129.00	3480.00	8.00	1715.70
11	2	1	1	10.00	129.00	3820.00	8.00	1277.10
11	2	1	1	18.00	129.00	3348.00	8.00	2205.90
11	2	1	1	17.00	129.00	1257.00	8.00	2390.37
11	2	1	1	13.00	129.00	2782.00	8.00	1677.00
12	2	1	1	15.00	193.00	3243.00	12.00	2663.40
12	2	1	1	10.00	193.00	1902.00	12.00	1833.50
12	2	1	1	8.00	193.00	2193.00	12.00	1497.68
12	2	1	1	8.00	193.00	248.00	12.00	1667.52
12	2	1	1	12.00	193.00	3162.00	12.00	2408.64
12	2	1	1	14.00	193.00	609.00	12.00	2918.16
12	2	1	1	10.00	193.00	2631.00	12.00	1891.40
12	2	1	1	18.00	193.00	3734.00	12.00	3265.56
12	2	1	1	17.00	193.00	2496.00	12.00	3543.48
12	2	1	1	13.00	193.00	130.00	12.00	2458.82
13	2	1	1	15.00	129.00	3672.00	8.00	1935.00
13	2	1	1	10.00	129.00	2920.00	8.00	1277.10
13	2	1	1	8.00	129.00	2117.00	8.00	959.76
13	2	1	1	8.00	129.00	3516.00	8.00	1124.88
13	2	1	1	12.00	129.00	2387.00	8.00	1393.20
13	2	1	1	14.00	129.00	765.00	8.00	1950.48
13	2	1	1	10.00	129.00	3966.00	8.00	1186.80
13	2	1	1	18.00	129.00	155.00	8.00	2252.34
13	2	1	1	17.00	129.00	2479.00	8.00	1995.63
13	2	1	1	13.00	129.00	1888.00	8.00	1777.62
14	2	1	1	15.00	81.00	2071.00	5.00	1312.20
14	2	1	1	10.00	81.00	2155.00	5.00	810.00
14	2	1	1	8.00	81.00	539.00	5.00	667.44
14	2	1	1	8.00	81.00	3191.00	5.00	641.52
14	2	1	1	12.00	81.00	1449.00	5.00	1010.88
14	2	1	1	14.00	81.00	1375.00	5.00	1224.72
14	2	1	1	10.00	81.00	1889.00	5.00	866.70
14	2	1	1	18.00	81.00	803.00	5.00	1341.36
14	2	1	1	17.00	81.00	2102.00	5.00	1335.69
14	2	1	1	13.00	81.00	3397.00	5.00	1010.88
15	2	1	1	15.00	49.00	223.00	3.00	742.35
15	2	1	1	10.00	49.00	615.00	3.00	445.90
15	2	1	1	8.00	49.00	2941.00	3.00	419.44
15	2	1	1	8.00	49.00	1662.00	3.00	352.80
15	2	1	1	12.00	49.00	837.00	3.00	558.60
15	2	1	1	14.00	49.00	1197.00	3.00	734.02
15	2	1	1	10.00	49.00	3851.00	3.00	514.50
15	2	1	1	18.00	49.00	134.00	3.00	802.62
15	2	1	1	17.00	49.00	3651.00	3.00	816.34
15	2	1	1	13.00	49.00	100.00	3.00	573.30
16	2	1	1	15.00	33.00	795.00	2.00	450.45
16	2	1	1	10.00	33.00	2595.00	2.00	306.90
16	2	1	1	8.00	33.00	2337.00	2.00	271.92
16	2	1	1	8.00	33.00	2547.00	2.00	253.44
16	2	1	1	12.00	33.00	646.00	2.00	419.76
16	2	1	1	14.00	33.00	2127.00	2.00	475.86
16	2	1	1	10.00	33.00	3921.00	2.00	316.80
16	2	1	1	18.00	33.00	3562.00	2.00	641.52
16	2	1	1	17.00	33.00	1397.00	2.00	555.39
16	2	1	1	13.00	33.00	3803.00	2.00	441.87
17	2	1	1	15.00	33.00	199.00	2.00	450.45
17	2	1	1	10.00	33.00	2004.00	2.00	330.00
17	2	1	1	8.00	33.00	2484.00	2.00	261.36
17	2	1	1	8.00	33.00	3666.00	2.00	264.00
17	2	1	1	12.00	33.00	456.00	2.00	384.12
17	2	1	1	14.00	33.00	1789.00	2.00	485.10
17	2	1	1	10.00	33.00	1177.00	2.00	326.70
17	2	1	1	18.00	33.00	1421.00	2.00	623.70
17	2	1	1	17.00	33.00	1613.00	2.00	600.27
17	2	1	1	13.00	33.00	1122.00	2.00	424.71
18	2	1	1	15.00	49.00	1629.00	3.00	720.30
18	2	1	1	10.00	49.00	549.00	3.00	494.90
18	2	1	1	8.00	49.00	1388.00	3.00	392.00
18	2	1	1	8.00	49.00	3256.00	3.00	427.28
18	2	1	1	12.00	49.00	788.00	3.00	529.20
18	2	1	1	14.00	49.00	277.00	3.00	692.86
18	2	1	1	10.00	49.00	377.00	3.00	460.60
18	2	1	1	18.00	49.00	71.00	3.00	952.56
18	2	1	1	17.00	49.00	2679.00	3.00	857.99
18	2	1	1	13.00	49.00	231.00	3.00	592.41
19	2	1	1	15.00	1.00	1581.00	0.00	13.50
19	2	1	1	10.00	1.00	2934.00	0.00	9.50
19	2	1	1	8.00	1.00	930.00	0.00	7.76
19	2	1	1	8.00	1.00	38.00	0.00	7.28
19	2	1	1	12.00	1.00	2260.00	0.00	11.16
19	2	1	1	14.00	1.00	259.00	0.00	12.60
19	2	1	1	10.00	1.00	1583.00	0.00	10.70
19	2	1	1	18.00	1.00	2738.00	0.00	18.00
19	2	1	1	17.00	1.00	1459.00	0.00	16.83
19	2	1	1	13.00	1.00	555.00	0.00	14.17
20	2	1	1	15.00	1.00	2941.00	0.00	15.30
20	2	1	1	10.00	1.00	761.00	0.00	10.70
20	2	1	1	8.00	1.00	2860.00	0.00	8.00
20	2	1	1	8.00	1.00	1554.00	0.00	7.52
20	2	1	1	12.00	1.00	3070.00	0.00	11.64
20	2	1	1	14.00	1.00	864.00	0.00	14.42
20	2	1	1	10.00	1.00	1678.00	0.00	9.40
20	2	1	1	18.00	1.00	122.00	0.00	16.92
20	2	1	1	17.00	1.00	3343.00	0.00	15.81
20	2	1	1	13.00	1.00	1198.00	0.00	13.65
21	2	1	1	15.00	1.00	3952.00	0.00	14.25
21	2	1	1	10.00	1.00	1920.00	0.00	10.20
21	2	1	1	8.00	1.00	2011.00	0.00	7.44
21	2	1	1	8.00	1.00	3372.00	0.00	7.44
21	2	1	1	12.00	1.00	1000.00	0.00	12.12
21	2	1	1	14.00	1.00	1336.00	0.00	14.00
21	2	1	1	10.00	1.00	110.00	0.00	10.30
21	2	1	1	18.00	1.00	1202.00	0.00	17.64
21	2	1	1	17.00	1.00	251.00	0.00	17.00
21	2	1	1	13.00	1.00	2652.00	0.00	12.09
22	2	1	1	15.00	1.00	2650.00	0.00	13.50
22	2	1	1	10.00	1.00	1718.00	0.00	10.20
22	2	1	1	8.00	1.00	3163.00	0.00	8.64
22	2	1	1	8.00	1.00	1818.00	0.00	8.48
22	2	1	1	12.00	1.00	1991.00	0.00	11.16
22	2	1	1	14.00	1.00	2579.00	0.00	14.00
22	2	1	1	10.00	1.00	2687.00	0.00	10.20
22	2	1	1	18.00	1.00	2545.00	0.00	19.08
22	2	1	1	17.00	1.00	1575.00	0.00	15.64
22	2	1	1	13.00	1.00	183.00	0.00	14.17
23	2	1	1	15.00	1.00	1466.00	0.00	15.00
23	2	1	1	10.00	1.00	448.00	0.00	10.60
23	2	1	1	8.00	1.00	1298.00	0.00	7.52
23	2	1	1	8.00	1.00	851.00	0.00	8.00
23	2	1	1	12.00	1.00	3781.00	0.00	13.08
23	2	1	1	14.00	1.00	379.00	0.00	14.00
23	2	1	1	10.00	1.00	389.00	0.00	10.20
23	2	1	1	18.00	1.00	2538.00	0.00	17.10
23	2	1	1	17.00	1.00	758.00	0.00	16.32
23	2	1	1	13.00	1.00	1601.00	0.00	13.13
0	3	1	1	15.00	1.00	2967.00	0.00	15.45
0	3	1	1	10.00	1.00	281.00	0.00	10.30
0	3	1	1	8.00	1.00	3569.00	0.00	8.32
0	3	1	1	8.00	1.00	115.00	0.00	8.32
0	3	1	1	12.00	1.00	3187.00	0.00	11.16
0	3	1	1	14.00	1.00	521.00	0.00	13.02
0	3	1	1	10.00	1.00	570.00	0.00	9.10
0	3	1	1	18.00	1.00	2630.00	0.00	16.56
0	3	1	1	17.00	1.00	2151.00	0.00	18.02
0	3	1	1	13.00	1.00	2336.00	0.00	12.09
1	3	1	1	15.00	1.00	2455.00	0.00	14.25
1	3	1	1	10.00	1.00	823.00	0.00	9.90
1	3	1	1	8.00	1.00	1742.00	0.00	8.72
1	3	1	1	8.00	1.00	2038.00	0.00	8.72
1	3	1	1	12.00	1.00	833.00	0.00	11.64
1	3	1	1	14.00	1.00	3716.00	0.00	13.30
1	3	1	1	10.00	1.00	2399.00	0.00	10.60
1	3	1	1	18.00	1.00	3113.00	0.00	17.46
1	3	1	1	17.00	1.00	3010.00	0.00	17.51
1	3	1	1	13.00	1.00	1356.00	0.00	12.61
2	3	1	1	15.00	1.00	1956.00	0.00	15.15
2	3	1	1	10.00	1.00	763.00	0.00	9.00
2	3	1	1	8.00	1.00	1514.00	0.00	8.40
2	3	1	1	8.00	1.00	2033.00	0.00	7.20
2	3	1	1	12.00	1.00	2476.00	0.00	13.08
2	3	1	1	14.00	1.00	3211.00	0.00	14.70
2	3	1	1	10.00	1.00	3953.00	0.00	10.90
2	3	1	1	18.00	1.00	258.00	0.00	16.56
2	3	1	1	17.00	1.00	1953.00	0.00	16.15
2	3	1	1	13.00	1.00	1144.00	0.00	11.83
3	3	1	1	15.00	1.00	879.00	0.00	16.05
3	3	1	1	10.00	1.00	3909.00	0.00	10.20
3	3	1	1	8.00	1.00	1015.00	0.00	8.00
3	3	1	1	8.00	1.00	1855.00	0.00	7.68
3	3	1	1	12.00	1.00	1464.00	0.00	12.60
3	3	1	1	14.00	1.00	357.00	0.00	15.26
3	3	1	1	10.00	1.00	3440.00	0.00	9.20
3	3	1	1	18.00	1.00	3145.00	0.00	19.62
3	3	1	1	17.00	1.00	1114.00	0.00	17.17
3	3	1	1	13.00	1.00	2451.00	0.00	12.74
4	3	1	1	15.00	1.00	1951.00	0.00	14.70
4	3	1	1	10.00	1.00	3109.00	0.00	10.10
4	3	1	1	8.00	1.00	1977.00	0.00	7.84
4	3	1	1	8.00	1.00	3331.00	0.00	8.64
4	3	1	1	12.00	1.00	1220.00	0.00	11.88
4	3	1	1	14.00	1.00	745.00	0.00	14.00
4	3	1	1	10.00	1.00	426.00	0.00	10.30
4	3	1	1	18.00	1.00	1511.00	0.00	17.64
4	3	1	1	17.00	1.00	204.00	0.00	18.19
4	3	1	1	13.00	1.00	2043.00	0.00	13.39
5	3	1	1	15.00	1.00	2273.00	0.00	13.65
5	3	1	1	10.00	1.00	2352.00	0.00	10.40
5	3	1	1	8.00	1.00	2822.00	0.00	8.16
5	3	1	1	8.00	1.00	524.00	0.00	8.24
5	3	1	1	12.00	1.00	1359.00	0.00	10.80
5	3	1	1	14.00	1.00	3984.00	0.00	13.86
5	3	1	1	10.00	1.00	1868.00	0.00	9.00
5	3	1	1	18.00	1.00	1643.00	0.00	19.26
5	3	1	1	17.00	1.00	3419.00	0.00	17.51
5	3	1	1	13.00	1.00	31.00	0.00	13.13
6	3	1	1	15.00	1.00	1905.00	0.00	14.40
6	3	1	1	10.00	1.00	1881.00	0.00	10.90
6	3	1	1	8.00	1.00	3195.00	0.00	8.56
6	3	1	1	8.00	1.00	168.00	0.00	7.84
6	3	1	1	12.00	1.00	2444.00	0.00	11.76
6	3	1	1	14.00	1.00	2147.00	0.00	15.12
6	3	1	1	10.00	1.00	3725.00	0.00	10.10
6	3	1	1	18.00	1.00	3345.00	0.00	18.00
6	3	1	1	17.00	1.00	3873.00	0.00	17.85
6	3	1	1	13.00	1.00	2835.00	0.00	11.96
7	3	1	1	15.00	17.00	3236.00	1.00	270.30
7	3	1	1	10.00	17.00	545.00	1.00	180.20
7	3	1	1	8.00	17.00	2034.00	1.00	144.16
7	3	1	1	8.00	17.00	832.00	1.00	125.12
7	3	1	1	12.00	17.00	128.00	1.00	191.76
7	3	1	1	14.00	17.00	13.00	1.00	247.52
7	3	1	1	10.00	17.00	2732.00	1.00	168.30
7	3	1	1	18.00	17.00	2377.00	1.00	284.58
7	3	1	1	17.00	17.00	1060.00	1.00	291.89
7	3	1	1	13.00	17.00	3343.00	1.00	229.84
8	3	1	1	15.00	33.00	2462.00	2.00	470.25
8	3	1	1	10.00	33.00	1563.00	2.00	343.20
8	3	1	1	8.00	33.00	3765.00	2.00	258.72
8	3	1	1	8.00	33.00	463.00	2.00	258.72
8	3	1	1	12.00	33.00	185.00	2.00	427.68
8	3	1	1	14.00	33.00	2778.00	2.00	475.86
8	3	1	1	10.00	33.00	3419.00	2.00	343.20
8	3	1	1	18.00	33.00	2022.00	2.00	552.42
8	3	1	1	17.00	33.00	3414.00	2.00	572.22
8	3	1	1	13.00	33.00	1415.00	2.00	437.58
9	3	1	1	15.00	49.00	834.00	3.00	757.05
9	3	1	1	10.00	49.00	1555.00	3.00	519.40
9	3	1	1	8.00	49.00	3709.00	3.00	419.44
9	3	1	1	8.00	49.00	3622.00	3.00	352.80
9	3	1	1	12.00	49.00	3795.00	3.00	611.52
9	3	1	1	14.00	49.00	1959.00	3.00	651.70
9	3	1	1	10.00	49.00	1231.00	3.00	460.60
9	3	1	1	18.00	49.00	893.00	3.00	864.36
9	3	1	1	17.00	49.00	1769.00	3.00	758.03
9	3	1	1	13.00	49.00	3542.00	3.00	662.48
10	3	1	1	15.00	81.00	103.00	5.00	1117.80
10	3	1	1	10.00	81.00	719.00	5.00	769.50
10	3	1	1	8.00	81.00	85.00	5.00	628.56
10	3	1	1	8.00	81.00	2529.00	5.00	615.60
10	3	1	1	12.00	81.00	2767.00	5.00	972.00
10	3	1	1	14.00	81.00	2903.00	5.00	1236.06
10	3	1	1	10.00	81.00	1497.00	5.00	826.20
10	3	1	1	18.00	81.00	336.00	5.00	1355.94
10	3	1	1	17.00	81.00	1294.00	5.00	1445.85
10	3	1	1	13.00	81.00	1932.00	5.00	1042.47
11	3	1	1	15.00	129.00	2011.00	8.00	2070.45
11	3	1	1	10.00	129.00	3899.00	8.00	1251.30
11	3	1	1	8.00	129.00	674.00	8.00	1083.60
11	3	1	1	8.00	129.00	1622.00	8.00	1021.68
11	3	1	1	12.00	129.00	3787.00	8.00	1517.04
11	3	1	1	14.00	129.00	812.00	8.00	1769.88
11	3	1	1	10.00	129.00	3031.00	8.00	1186.80
11	3	1	1	18.00	129.00	2540.00	8.00	2205.90
11	3	1	1	17.00	129.00	2554.00	8.00	2368.44
11	3	1	1	13.00	129.00	3504.00	8.00	1509.30
12	3	1	1	15.00	193.00	1674.00	12.00	2952.90
12	3	1	1	10.00	193.00	178.00	12.00	1872.10
12	3	1	1	8.00	193.00	2127.00	12.00	1682.96
12	3	1	1	8.00	193.00	3473.00	12.00	1652.08
12	3	1	1	12.00	193.00	1343.00	12.00	2130.72
12	3	1	1	14.00	193.00	3101.00	12.00	2647.96
12	3	1	1	10.00	193.00	976.00	12.00	2084.40
12	3	1	1	18.00	193.00	2394.00	12.00	3786.66
12	3	1	1	17.00	193.00	1237.00	12.00	3346.62
12	3	1	1	13.00	193.00	830.00	12.00	2433.73
13	3	1	1	15.00	129.00	3541.00	8.00	1954.35
13	3	1	1	10.00	129.00	2269.00	8.00	1199.70
13	3	1	1	8.00	129.00	2993.00	8.00	980.40
13	3	1	1	8.00	129.00	3455.00	8.00	1042.32
13	3	1	1	12.00	129.00	2169.00	8.00	1424.16
13	3	1	1	14.00	129.00	644.00	8.00	1679.58
13	3	1	1	10.00	129.00	2474.00	8.00	1238.40
13	3	1	1	18.00	129.00	1897.00	8.00	2461.32
13	3	1	1	17.00	129.00	1349.00	8.00	2017.56
13	3	1	1	13.00	129.00	1030.00	8.00	1827.93
14	3	1	1	15.00	81.00	2339.00	5.00	1154.25
14	3	1	1	10.00	81.00	410.00	5.00	769.50
14	3	1	1	8.00	81.00	2530.00	5.00	648.00
14	3	1	1	8.00	81.00	3539.00	5.00	615.60
14	3	1	1	12.00	81.00	2619.00	5.00	1020.60
14	3	1	1	14.00	81.00	2465.00	5.00	1236.06
14	3	1	1	10.00	81.00	3229.00	5.00	761.40
14	3	1	1	18.00	81.00	3008.00	5.00	1399.68
14	3	1	1	17.00	81.00	3301.00	5.00	1294.38
14	3	1	1	13.00	81.00	1005.00	5.00	1105.65
15	3	1	1	15.00	49.00	22.00	3.00	793.80
15	3	1	1	10.00	49.00	2356.00	3.00	509.60
15	3	1	1	8.00	49.00	1060.00	3.00	364.56
15	3	1	1	8.00	49.00	1321.00	3.00	388.08
15	3	1	1	12.00	49.00	2083.00	3.00	570.36
15	3	1	1	14.00	49.00	1237.00	3.00	679.14
15	3	1	1	10.00	49.00	540.00	3.00	470.40
15	3	1	1	18.00	49.00	3933.00	3.00	952.56
15	3	1	1	17.00	49.00	378.00	3.00	849.66
15	3	1	1	13.00	49.00	2611.00	3.00	573.30
16	3	1	1	15.00	33.00	2853.00	2.00	490.05
16	3	1	1	10.00	33.00	1869.00	2.00	303.60
16	3	1	1	8.00	33.00	2173.00	2.00	266.64
16	3	1	1	8.00	33.00	2009.00	2.00	285.12
16	3	1	1	12.00	33.00	379.00	2.00	380.16
16	3	1	1	14.00	33.00	1144.00	2.00	438.90
16	3	1	1	10.00	33.00	2904.00	2.00	333.30
16	3	1	1	18.00	33.00	1184.00	2.00	570.24
16	3	1	1	17.00	33.00	2744.00	2.00	594.66
16	3	1	1	13.00	33.00	1036.00	2.00	463.32
17	3	1	1	15.00	33.00	3699.00	2.00	460.35
17	3	1	1	10.00	33.00	976.00	2.00	326.70
17	3	1	1	8.00	33.00	2726.00	2.00	245.52
17	3	1	1	8.00	33.00	458.00	2.00	250.80
17	3	1	1	12.00	33.00	1303.00	2.00	427.68
17	3	1	1	14.00	33.00	521.00	2.00	425.04
17	3	1	1	10.00	33.00	430.00	2.00	346.50
17	3	1	1	18.00	33.00	886.00	2.00	623.70
17	3	1	1	17.00	33.00	1125.00	2.00	605.88
17	3	1	1	13.00	33.00	2536.00	2.00	386.10
18	3	1	1	15.00	49.00	3858.00	3.00	712.95
18	3	1	1	10.00	49.00	1219.00	3.00	441.00
18	3	1	1	8.00	49.00	814.00	3.00	372.40
18	3	1	1	8.00	49.00	2426.00	3.00	407.68
18	3	1	1	12.00	49.00	2449.00	3.00	623.28
18	3	1	1	14.00	49.00	3700.00	3.00	631.12
18	3	1	1	10.00	49.00	3145.00	3.00	455.70
18	3	1	1	18.00	49.00	2277.00	3.00	873.18
18	3	1	1	17.00	49.00	3428.00	3.00	783.02
18	3	1	1	13.00	49.00	3484.00	3.00	611.52
19	3	1	1	15.00	1.00	3197.00	0.00	14.25
19	3	1	1	10.00	1.00	3938.00	0.00	10.20
19	3	1	1	8.00	1.00	490.00	0.00	8.72
19	3	1	1	8.00	1.00	1886.00	0.00	8.00
19	3	1	1	12.00	1.00	414.00	0.00	13.08
19	3	1	1	14.00	1.00	2229.00	0.00	13.58
19	3	1	1	10.00	1.00	1168.00	0.00	10.20
19	3	1	1	18.00	1.00	809.00	0.00	19.44
19	3	1	1	17.00	1.00	736.00	0.00	18.36
19	3	1	1	13.00	1.00	3855.00	0.00	14.17
20	3	1	1	15.00	1.00	2712.00	0.00	16.35
20	3	1	1	10.00	1.00	1156.00	0.00	9.60
20	3	1	1	8.00	1.00	866.00	0.00	7.44
20	3	1	1	8.00	1.00	3978.00	0.00	8.72
20	3	1	1	12.00	1.00	756.00	0.00	12.24
20	3	1	1	14.00	1.00	193.00	0.00	15.26
20	3	1	1	10.00	1.00	665.00	0.00	10.90
20	3	1	1	18.00	1.00	2212.00	0.00	17.46
20	3	1	1	17.00	1.00	146.00	0.00	16.49
20	3	1	1	13.00	1.00	595.00	0.00	12.61
21	3	1	1	15.00	1.00	1043.00	0.00	15.45
21	3	1	1	10.00	1.00	2835.00	0.00	10.20
21	3	1	1	8.00	1.00	2359.00	0.00	7.52
21	3	1	1	8.00	1.00	3508.00	0.00	7.60
21	3	1	1	12.00	1.00	1143.00	0.00	12.84
21	3	1	1	14.00	1.00	175.00	0.00	14.42
21	3	1	1	10.00	1.00	1349.00	0.00	10.70
21	3	1	1	18.00	1.00	2327.00	0.00	19.44
21	3	1	1	17.00	1.00	1257.00	0.00	16.83
21	3	1	1	13.00	1.00	2950.00	0.00	13.78
22	3	1	1	15.00	1.00	2041.00	0.00	13.95
22	3	1	1	10.00	1.00	3124.00	0.00	10.70
22	3	1	1	8.00	1.00	1378.00	0.00	7.36
22	3	1	1	8.00	1.00	1938.00	0.00	8.08
22	3	1	1	12.00	1.00	1419.00	0.00	12.96
22	3	1	1	14.00	1.00	3478.00	0.00	14.84
22	3	1	1	10.00	1.00	3305.00	0.00	10.60
22	3	1	1	18.00	1.00	2763.00	0.00	17.10
22	3	1	1	17.00	1.00	2378.00	0.00	15.30
22	3	1	1	13.00	1.00	2360.00	0.00	11.83
23	3	1	1	15.00	1.00	340.00	0.00	16.20
23	3	1	1	10.00	1.00	1343.00	0.00	9.20
23	3	1	1	8.00	1.00	3808.00	0.00	8.00
23	3	1	1	8.00	1.00	2577.00	0.00	7.44
23	3	1	1	12.00	1.00	3174.00	0.00	11.28
23	3	1	1	14.00	1.00	202.00	0.00	12.74
23	3	1	1	10.00	1.00	2457.00	0.00	9.40
23	3	1	1	18.00	1.00	757.00	0.00	19.62
23	3	1	1	17.00	1.00	3425.00	0.00	16.66
23	3	1	1	13.00	1.00	3508.00	0.00	13.26
